1000 -14 -14
2000 -14 -14
3000 -14 -14
4000 -14 -14
5000 -14 -14
6000 -14 -14
7000 -14 -14
8000 -14 -14
9000 -14 -14
10000 -14 -14
11000 -14 -14
12000 -14 -14
13000 -14 -14
14000 -14 -14
15000 -14 -14
16000 -14 -14
17000 -14 -14
18000 -14 -14
19000 -14 -14
20000 -14 -14
21000 -14 -14
22000 -14 -14
23000 -14 -14
24000 -14 -14
25000 -14 -14
26000 -14 -14
27000 -14 -14
28000 -14 -14
29000 -14 -14
30000 -14 -14
31000 -14 -14
32000 -14 -14
33000 -14 -14
34000 -14 -14
35000 -14 -14
36000 -14 -14
37000 -14 -14
38000 -14 -14
39000 -14 -14
40000 -14 -14
41000 -14 -14
42000 -14 -14
43000 -14 -14
44000 -14 -14
45000 -14 -14
46000 -14 -14
47000 -14 -14
48000 -14 -14
49000 -14 -14
50000 -14 -14
51000 -14 -14
52000 -14 -14
53000 -14 -14
54000 -14 -14
55000 -14 -14
56000 -14 -14
57000 -14 -14
58000 -14 -14
59000 -14 -14
60000 -14 -14
61000 -14 -14
62000 -14 -14
63000 -14 -14
64000 -14 -14
65000 -14 -14
66000 -14 -14
67000 -14 -14
68000 -14 -14
69000 -14 -14
70000 -14 -14
71000 -14 -14
72000 -14 -14
73000 -14 -14
74000 -14 -14
75000 -14 -14
76000 -14 -14
77000 -14 -14
78000 -14 -14
79000 -14 -14
80000 -14 -14
81000 -14 -14
82000 -14 -14
83000 -14 -14
84000 -14 -14
85000 -14 -14
86000 -14 -14
87000 -14 -14
88000 -14 -14
89000 -14 -14
90000 -14 -14
91000 -14 -14
92000 -14 -14
93000 -14 -14
94000 -14 -14
95000 -14 -14
96000 -14 -14
97000 -14 -14
98000 -14 -14
99000 -14 -14
100000 -14 -14
101000 -14 -14
102000 -14 -14
103000 -14 -14
104000 -14 -14
105000 -14 -14
106000 -14 -14
107000 -14 -14
108000 -14 -14
109000 -14 -14
110000 -14 -14
111000 -14 -14
112000 -14 -14
113000 -14 -14
114000 -14 -14
115000 -14 -14
116000 -14 -14
117000 -14 -14
