### Datafile rebinned by Will It Rebin...? 
### Original datafile = S_A_02938_C3-T2_lipase_s3_000_c.dat
### Number of datapoints = 115
   1.1098578700e-02   3.5029220741e-01   9.1551083668e-03   0.0
   1.2331748000e-02   3.4059674463e-01   5.6307836377e-03   0.0
   1.3564915400e-02   3.2465376378e-01   3.8739266736e-03   0.0
   1.4798080700e-02   3.2386701716e-01   2.8615680191e-03   0.0
   1.6031243700e-02   3.1251105964e-01   2.2862950112e-03   0.0
   1.7264404200e-02   3.0434360589e-01   2.1617922461e-03   0.0
   1.8497562100e-02   2.9864101887e-01   1.8903803606e-03   0.0
   1.9730717000e-02   2.8709773226e-01   1.7982380399e-03   0.0
   2.0963868900e-02   2.7887230796e-01   1.5742687123e-03   0.0
   2.2197017500e-02   2.7389884744e-01   1.5167168080e-03   0.0
   2.3430162600e-02   2.6523187848e-01   1.4221371844e-03   0.0
   2.4663304100e-02   2.5845965809e-01   1.3730794670e-03   0.0
   2.5896441800e-02   2.5331511376e-01   1.2492255130e-03   0.0
   2.7129575400e-02   2.4790311414e-01   1.2470510904e-03   0.0
   2.8362704900e-02   2.3928872414e-01   1.2278538418e-03   0.0
   2.9595829900e-02   2.3322995052e-01   1.1650805373e-03   0.0
   3.0828950300e-02   2.2738418816e-01   1.0813091519e-03   0.0
   3.2062065900e-02   2.1663756716e-01   1.0345044248e-03   0.0
   3.3295176500e-02   2.1044166315e-01   1.0489183137e-03   0.0
   3.4528281900e-02   2.0391561951e-01   1.0036828243e-03   0.0
   3.5761382000e-02   2.0096272015e-01   9.4316085501e-04   0.0
   3.6994476400e-02   1.9351944239e-01   9.3501977277e-04   0.0
   3.8227565200e-02   1.8703463185e-01   8.7494459364e-04   0.0
   3.9460648000e-02   1.8032133037e-01   8.7447662710e-04   0.0
   4.0693724600e-02   1.7624702744e-01   8.4201191983e-04   0.0
   4.1926794900e-02   1.6906131692e-01   7.9636046584e-04   0.0
   4.3159858700e-02   1.6346390940e-01   8.1895496904e-04   0.0
   4.4392915800e-02   1.5911572344e-01   7.5295168369e-04   0.0
   4.5625965900e-02   1.5279583736e-01   7.7412614778e-04   0.0
   4.6859009000e-02   1.4827337782e-01   7.1682620751e-04   0.0
   4.8092044800e-02   1.4194677474e-01   7.0243495999e-04   0.0
   4.9325073100e-02   1.3804384920e-01   7.2266378787e-04   0.0
   5.0558093700e-02   1.3281094917e-01   6.6279420144e-04   0.0
   5.1791106500e-02   1.2809173948e-01   6.4309013994e-04   0.0
   5.3024111100e-02   1.2287729662e-01   6.1528449230e-04   0.0
   5.4873601600e-02   1.1681041475e-01   4.4664699417e-04   0.0
   5.7339560250e-02   1.0872071738e-01   4.1698296533e-04   0.0
   5.9805483150e-02   1.0100698559e-01   3.9408155598e-04   0.0
   6.2271368950e-02   9.3951956864e-02   3.7190050569e-04   0.0
   6.4737215900e-02   8.7936487564e-02   3.6561484481e-04   0.0
   6.7203022600e-02   8.0973337814e-02   3.4465167599e-04   0.0
   6.9668787450e-02   7.6005323924e-02   3.3379826395e-04   0.0
   7.2134509000e-02   7.0708613047e-02   3.1777748592e-04   0.0
   7.4600185650e-02   6.5895179113e-02   3.0532280892e-04   0.0
   7.7065815850e-02   6.1535411236e-02   2.9803229647e-04   0.0
   7.9531398150e-02   5.7068431956e-02   2.8459686982e-04   0.0
   8.1996930900e-02   5.3920908420e-02   2.7865545011e-04   0.0
   8.4462412650e-02   4.9514577635e-02   2.6649477680e-04   0.0
   8.6927841900e-02   4.6668005995e-02   2.5856208041e-04   0.0
   8.9393217100e-02   4.3449864851e-02   2.4765623049e-04   0.0
   9.1858536600e-02   4.0182769591e-02   2.4269905506e-04   0.0
   9.4323798950e-02   3.8135270638e-02   2.3495775580e-04   0.0
   9.6789002700e-02   3.5422958573e-02   2.3217020300e-04   0.0
   9.9254146200e-02   3.3655873292e-02   2.2709566416e-04   0.0
   1.0171922800e-01   3.1158982805e-02   2.2727120973e-04   0.0
   1.0480048767e-01   2.8551222446e-02   1.8220148486e-04   0.0
   1.0849786833e-01   2.5865560691e-02   1.8015649280e-04   0.0
   1.1219509733e-01   2.3132104337e-02   1.7499850060e-04   0.0
   1.1589216967e-01   2.0823661848e-02   1.7084262000e-04   0.0
   1.1958907967e-01   1.9266927224e-02   1.6684601661e-04   0.0
   1.2328582200e-01   1.7021864449e-02   1.6295143105e-04   0.0
   1.2698239233e-01   1.5354439362e-02   1.6476758641e-04   0.0
   1.3067878467e-01   1.3445398163e-02   1.6723991772e-04   0.0
   1.3437499433e-01   1.1800036229e-02   1.6046668695e-04   0.0
   1.3807101600e-01   1.0690636558e-02   1.5485186312e-04   0.0
   1.4176684467e-01   9.4304513938e-03   1.5069269265e-04   0.0
   1.4546247533e-01   8.2990594920e-03   1.4691813493e-04   0.0
   1.4915790233e-01   7.2293190491e-03   1.4605099368e-04   0.0
   1.5285312100e-01   6.2412633541e-03   1.4132482139e-04   0.0
   1.5654812600e-01   5.6718082965e-03   1.3967539555e-04   0.0
   1.6085868050e-01   4.7555885040e-03   1.1807436104e-04   0.0
   1.6578466150e-01   3.8798151686e-03   1.1156347431e-04   0.0
   1.7071023100e-01   3.3351448075e-03   1.0704304167e-04   0.0
   1.7563537625e-01   2.7438386839e-03   1.0352543150e-04   0.0
   1.8056008525e-01   2.2780969927e-03   1.0057766715e-04   0.0
   1.8548434575e-01   1.9735448091e-03   9.8842180755e-05   0.0
   1.9040814575e-01   1.7374240826e-03   9.6480305010e-05   0.0
   1.9533147300e-01   1.5530228617e-03   9.4518771123e-05   0.0
