#total particle-self-energy nonbondedEM
100 -425.592285792809 0 -425.592285792809
200 -435.930259808898 0 -435.930259808898
300 -466.171529440966 0 -466.171529440966
400 -428.2789759160951 0 -428.2789759160951
500 -434.3943262342364 0 -434.3943262342364
600 -428.7538895185571 0 -428.7538895185571
700 -457.1767960891593 0 -457.1767960891593
800 -505.3258770655375 0 -505.3258770655375
900 -495.0386761492118 0 -495.0386761492118
1000 -478.0456486274488 0 -478.0456486274488
1100 -489.4308701660484 0 -489.4308701660484
1200 -483.5266123996116 0 -483.5266123996116
1300 -480.951088661328 0 -480.951088661328
1400 -491.7385021774098 0 -491.7385021774098
1500 -491.0812119522598 0 -491.0812119522598
1600 -497.2613036192488 0 -497.2613036192488
1700 -482.6393822201062 0 -482.6393822201062
1800 -458.3951714094728 0 -458.3951714094728
1900 -452.8048098247964 0 -452.8048098247964
2000 -433.0056223273277 0 -433.0056223273277
2100 -414.6633404539898 0 -414.6633404539898
2200 -444.940215689945 0 -444.940215689945
2300 -455.3607500831131 0 -455.3607500831131
2400 -460.6602985714562 0 -460.6602985714562
2500 -452.1328421360813 0 -452.1328421360813
2600 -430.6498738843948 0 -430.6498738843948
2700 -451.6106574465521 0 -451.6106574465521
2800 -412.3677273446228 0 -412.3677273446228
2900 -406.1128457409795 0 -406.1128457409795
3000 -404.7684663247783 0 -404.7684663247783
3100 -398.402413510019 0 -398.402413510019
3200 -386.2990705056582 0 -386.2990705056582
3300 -400.0765195973217 0 -400.0765195973217
3400 -370.4517026273534 0 -370.4517026273534
3500 -384.2525342663284 0 -384.2525342663284
3600 -346.7992946422892 0 -346.7992946422892
3700 -379.7518336183857 0 -379.7518336183857
3800 -378.1017842271831 0 -378.1017842271831
3900 -387.5587266741786 0 -387.5587266741786
4000 -397.6246005438734 0 -397.6246005438734
4100 -378.6956589589827 0 -378.6956589589827
4200 -390.4539653747343 0 -390.4539653747343
4300 -362.8097552753752 0 -362.8097552753752
4400 -367.1669584594783 0 -367.1669584594783
4500 -339.1605362168048 0 -339.1605362168048
